内容,分词,分词文本,情感标签,情感置信度
ai生成视频正确用法,"['ai', '生成', '视频', '正确', '用法']",ai 生成 视频 正确 用法,positive,0.9870424270629883
通辽叙事,"['通辽', '叙事']",通辽 叙事,positive,0.97227942943573
gpt4o让我畏惧的不是它的出图效果 而是它的算法和推导模式,"['gpt4o', '畏惧', '不是', '出图', '效果', '算法', '推导', '模式']",gpt4o 畏惧 不是 出图 效果 算法 推导 模式,positive,0.896660327911377
并不空洞，感觉空洞是因为迷茫无从下手，其实很简单，尝试使用AI进行生产，最起码你会提问了,"['空洞', '感觉', '空洞', '是因为', '迷茫', '无从下手', '其实', '简单', '尝试', '使用', 'AI', '进行', '生产', '最起码', '提问']",空洞 感觉 空洞 是因为 迷茫 无从下手 其实 简单 尝试 使用 AI 进行 生产 最起码 提问,positive,0.9601166248321533
如果加入政治经济学就更好了，不光是技术,"['加入', '政治经济学', '更好', '技术']",加入 政治经济学 更好 技术,positive,0.9867531061172485
你学得过AI吗,"['学得', 'AI']",学得 AI,positive,0.5106214880943298
真相不必让每个人都知道，坏人也许想的是干掉所有搞AI的人拖缓时代的进步,"['真相', '不必', '每个', '知道', '坏人', '也许', '干掉', '所有', 'AI', '拖缓', '时代', '进步']",真相 不必 每个 知道 坏人 也许 干掉 所有 AI 拖缓 时代 进步,positive,0.9861485958099365
工作是人的社会链接的形式，没有工作人会抑郁的,"['工作', '社会', '链接', '形式', '没有', '工作', '人会', '抑郁']",工作 社会 链接 形式 没有 工作 人会 抑郁,positive,0.8654013872146606
讨厌活人可以研究死人或者动物或者微生物,"['讨厌', '活人', '研究', '死人', '动物', '微生物']",讨厌 活人 研究 死人 动物 微生物,positive,0.5265830755233765
很棒！声音可以再放大一点！,"['很棒', '声音', '放大', '一点']",很棒 声音 放大 一点,positive,0.9911875128746033
那就来个去中心化？,['中心化'],中心化,negative,0.918318510055542
更多的是天天喝个烂醉吧,"['天天', '喝个', '烂醉']",天天 喝个 烂醉,negative,0.6459171175956726
生产资料握在极少数人手里，就看他们分不分出来。,"['生产资料', '极少数人', '手里', '分不分', '出来']",生产资料 极少数人 手里 分不分 出来,positive,0.6199702024459839
快快让我实现赛博永生吧orz,"['快快', '实现', '赛博', '永生', 'orz']",快快 实现 赛博 永生 orz,positive,0.89870685338974
是瑞典？还是哪个国家是这样的来着,"['瑞典', '国家']",瑞典 国家,negative,0.7768617868423462
比如外卖,['外卖'],外卖,negative,0.5684791803359985
这剪辑真忍不了,"['剪辑', '真忍', '不了']",剪辑 真忍 不了,negative,0.9167880415916443
跟玩文明一样,['文明'],文明,negative,0.9434309601783752
什么懒汉不懒汉的？AI全方位超越人类后人类工作那叫添乱，生产力上来了科技创新开始狂飙后一点点资源就够撑死人类。,"['懒汉', '懒汉', 'AI', '全方位', '超越', '人类', '人类', '工作', '添乱', '生产力', '上来', '科技', '创新', '狂飙', '一点点', '资源', '就够', '撑死', '人类']",懒汉 懒汉 AI 全方位 超越 人类 人类 工作 添乱 生产力 上来 科技 创新 狂飙 一点点 资源 就够 撑死 人类,negative,0.5930112600326538
这些都是西方书籍摘抄，是否适合套用东方框架上？,"['西方', '书籍', '摘抄', '是否', '适合', '套用', '东方', '框架']",西方 书籍 摘抄 是否 适合 套用 东方 框架,negative,0.5768058896064758
ai现在也会提出问题，deepseek提出的问题很令人警醒。,"['ai', '现在', '提出', '问题', 'deepseek', '提出', '问题', '令人', '警醒']",ai 现在 提出 问题 deepseek 提出 问题 令人 警醒,positive,0.991455614566803
UBI是个美西方，最后一道底线，一旦有人钻空子就是烂账，且美西方擅长搞砸一切有利可图的事，最终民众买单，所以，不是末路的不要搞这个,"['UBI', '西方', '最后', '一道', '底线', '有人', '钻空子', '烂账', '西方', '擅长', '搞砸', '有利可图', '最终', '民众', '买单', '不是', '末路', '不要']",UBI 西方 最后 一道 底线 有人 钻空子 烂账 西方 擅长 搞砸 有利可图 最终 民众 买单 不是 末路 不要,positive,0.577653169631958
不是已经失业了吗hh,"['不是', '已经', '失业', 'hh']",不是 已经 失业 hh,positive,0.9227930903434753
去哪领？,['哪领'],哪领,negative,0.9045125842094421
来了，来自东方的换脸技术,"['来自', '东方', '技术']",来自 东方 技术,positive,0.9617878794670105
rude分子？,"['rude', '分子']",rude 分子,negative,0.7857570648193359
说了个寂寞,['寂寞'],寂寞,positive,0.9301149249076843
会导致人口骤增,"['导致', '人口', '骤增']",导致 人口 骤增,positive,0.533072292804718
前沿科学ai做不了太多，艺术创作也得靠人类，ai或许能量产好的画作，但是它不可能画出惊世骇俗的的画作，基于大数据模型就奠定了这一点,"['前沿科学', 'ai', '做不了', '艺术创作', '人类', 'ai', '或许', '能量', '产好', '画作', '可能', '画出', '惊世骇俗', '画作', '基于', '数据模型', '奠定', '一点']",前沿科学 ai 做不了 艺术创作 人类 ai 或许 能量 产好 画作 可能 画出 惊世骇俗 画作 基于 数据模型 奠定 一点,positive,0.9869261980056763
那时候房子也没有溢价，看看现在的房价，真正的建筑成本能有多少。,"['房子', '没有', '溢价', '看看', '现在', '房价', '真正', '建筑', '成本']",房子 没有 溢价 看看 现在 房价 真正 建筑 成本,positive,0.9817385077476501
我们都在用力的活着,"['用力', '活着']",用力 活着,positive,0.9574519395828247
这事关键在于可持续性，当社会不依赖人创造价值，什么动力能让这笔钱持续？,"['关键在于', '可持续性', '社会', '依赖', '创造', '价值', '动力', '这笔', '持续']",关键在于 可持续性 社会 依赖 创造 价值 动力 这笔 持续,positive,0.9638610482215881
人的主观能动性没有了,"['主观', '能动性', '没有']",主观 能动性 没有,positive,0.512000322341919
算力垄断,"['算力', '垄断']",算力 垄断,negative,0.7542421221733093
ai替代职位 但研发ai的职位也会变多,"['ai', '替代', '职位', '研发', 'ai', '职位', '变多']",ai 替代 职位 研发 ai 职位 变多,positive,0.9882733821868896
电车的发明带动了网约车,"['电车', '发明', '带动', '网约车']",电车 发明 带动 网约车,positive,0.973894476890564
做电池吧,['电池'],电池,negative,0.548757016658783
艺术创作早就被ai替代了，变得更卷钱更少，还要被说不如ai,"['艺术创作', '早就', 'ai', '替代', '变得', '更卷', '更少', '还要', 'ai']",艺术创作 早就 ai 替代 变得 更卷 更少 还要 ai,negative,0.5809999108314514
对未来是有好处的，可是阵痛是多久，这代人能赶上吗,"['未来', '好处', '阵痛', '多久', '这代人', '赶上']",未来 好处 阵痛 多久 这代人 赶上,positive,0.9159876704216003
那如果就是每个月给一笔钱，必须学会一个技能,"['每个', '一笔', '必须', '学会', '技能']",每个 一笔 必须 学会 技能,positive,0.9334022998809814
这个视频也是AI做的,"['视频', 'AI']",视频 AI,negative,0.6590787172317505
开拓！愿此行，终抵群星,"['开拓', '此行', '终抵', '群星']",开拓 此行 终抵 群星,positive,0.976894736289978
主流原因政治意识的对抗,"['主流', '原因', '政治', '意识', '对抗']",主流 原因 政治 意识 对抗,positive,0.9534987211227417
想什么呢,[],,negative,0.6409982442855835
生孩子，星际殖民,"['孩子', '星际', '殖民']",孩子 星际 殖民,positive,0.9680147767066956
整个ai游戏吧,"['整个', 'ai', '游戏吧']",整个 ai 游戏吧,negative,0.5304118990898132
天网觉醒倒计时,"['天网', '觉醒', '倒计时']",天网 觉醒 倒计时,positive,0.632639467716217
现在还没那么多呢,['现在'],现在,positive,0.7891404032707214
活体陈设,"['活体', '陈设']",活体 陈设,positive,0.5369717478752136
做想做的事,[],,positive,0.8632584810256958
主次矛盾主次方面,"['主次', '矛盾', '主次', '方面']",主次 矛盾 主次 方面,positive,0.6028231382369995
就业多了成本最后只会落在消费者头上，或者造成产业上游偷工减料。,"['就业', '成本', '最后', '只会落', '消费者', '头上', '造成', '产业', '上游', '偷工减料']",就业 成本 最后 只会落 消费者 头上 造成 产业 上游 偷工减料,negative,0.8528881072998047
给人提供价值才是人类的意义,"['提供', '价值', '人类', '意义']",提供 价值 人类 意义,positive,0.9777194261550903
用ai创业,"['ai', '创业']",ai 创业,positive,0.9656983017921448
你管他ai不ai,"['ai', 'ai']",ai ai,negative,0.5070177912712097
这集看过,"['这集', '看过']",这集 看过,positive,0.9386306405067444
这样阶级也更固化,"['阶级', '固化']",阶级 固化,positive,0.9353625178337097
21号宇宙,['宇宙'],宇宙,positive,0.9585208296775818
aI最应该取代的是行政决策人员,"['aI', '应该', '取代', '行政', '决策人员']",aI 应该 取代 行政 决策人员,positive,0.9778673648834229
这个理想最少几百年才有希望,"['理想', '最少', '几百年', '希望']",理想 最少 几百年 希望,positive,0.953488290309906
人类还可以选择吗？,"['人类', '选择']",人类 选择,positive,0.591221034526825
继续进化，怎么才能变成4维，5维生物,"['继续', '进化', '才能', '变成', '维生物']",继续 进化 才能 变成 维生物,positive,0.860164225101471
或者每人买一台AI，让他替我上班,"['每人', '一台', 'AI', '上班']",每人 一台 AI 上班,positive,0.9128282070159912
台北基隆路車行地下道,"['台北', '基隆', '路車行', '地下道']",台北 基隆 路車行 地下道,positive,0.8387234807014465
这是我正在努力做的事情哈,"['正在', '努力', '事情']",正在 努力 事情,positive,0.9579522609710693
这才是现实，没有被小说家砍掉的AI,"['这才', '现实', '没有', '小说家', '砍掉', 'AI']",这才 现实 没有 小说家 砍掉 AI,positive,0.984209418296814
空洞也是想象空间,"['空洞', '想象', '空间']",空洞 想象 空间,negative,0.6759353876113892
但这才是现实,['现实'],现实,positive,0.5782479047775269
我选择制造问题,"['选择', '制造', '问题']",选择 制造 问题,negative,0.9139298796653748
国家不会放弃你的  秋叶大佬,"['国家', '不会', '放弃', '秋叶', '大佬']",国家 不会 放弃 秋叶 大佬,positive,0.8404491543769836
现在是一个释放脑子里奇怪想法的时代，有想法，AI就是利好,"['现在', '释放', '脑子里', '奇怪', '想法', '时代', '想法', 'AI', '利好']",现在 释放 脑子里 奇怪 想法 时代 想法 AI 利好,positive,0.9883266091346741
UBI是不现实的，每个人发1000， 相当于是没发,"['UBI', '现实', '每个', '人发', '相当于', '没发']",UBI 现实 每个 人发 相当于 没发,negative,0.8606781959533691
会，百分百,['百分百'],百分百,positive,0.5653018355369568
千年未有之大变局,"['千年', '未有', '大变局']",千年 未有 大变局,positive,0.976189911365509
啊这个我是经历不到了，除非把我人格传虚拟世界去,"['经历', '不到', '人格', '虚拟世界']",经历 不到 人格 虚拟世界,positive,0.6197788119316101
失业躺平看视频,"['失业', '躺平', '视频']",失业 躺平 视频,positive,0.887654721736908
这样说是复杂了,['复杂'],复杂,positive,0.5861800909042358
环保，哲学，科研，宇宙探索,"['环保', '哲学', '科研', '宇宙', '探索']",环保 哲学 科研 宇宙 探索,positive,0.9916099905967712
太牵强了，你说是赋能型就是赋能型？电力的出现就没取代工人？定义标准都还没说呢,"['牵强', '赋能', '赋能', '电力', '出现', '取代', '工人', '定义', '标准', '都还没']",牵强 赋能 赋能 电力 出现 取代 工人 定义 标准 都还没,negative,0.9624713659286499
那是靠霸权吸了落后国家的血才有那么滋润,"['霸权', '落后', '国家', '滋润']",霸权 落后 国家 滋润,positive,0.768677830696106
现在你个头，现在你还能拿手机上网！,"['现在', '个头', '现在', '手机', '上网']",现在 个头 现在 手机 上网,negative,0.839877724647522
